iter	Passed	Remaining
413	1934	2738
414	1935	2728
415	1936	2718
416	1937	2708
417	1937	2698
418	1938	2688
419	1939	2678
420	1940	2668
421	1940	2658
422	1943	2651
423	1944	2641
424	1945	2631
425	1946	2622
426	1947	2612
427	1947	2603
428	1948	2593
429	1949	2584
430	1950	2575
431	1951	2565
432	1952	2556
433	1953	2547
434	1954	2537
435	1954	2528
436	1955	2519
437	1956	2510
438	1958	2503
439	1960	2494
440	1961	2485
441	1962	2477
442	1963	2468
443	1964	2460
444	1965	2451
445	1966	2442
446	1967	2434
447	1968	2425
448	1969	2416
449	1969	2407
450	1970	2398
451	1971	2390
452	1974	2383
453	1974	2375
454	1975	2366
455	1976	2358
456	1977	2349
457	1978	2341
458	1979	2332
459	1979	2324
460	1980	2315
461	1981	2307
462	1982	2299
463	1983	2290
464	1983	2282
465	1984	2274
466	1985	2266
467	1986	2257
468	1986	2249
469	1988	2242
470	1989	2234
471	1990	2226
472	1991	2218
473	1992	2210
474	1993	2202
475	1993	2194
476	1994	2187
477	1995	2179
478	1996	2171
479	1997	2163
480	1997	2155
481	1998	2148
482	1999	2140
483	2003	2136
484	2005	2129
485	2006	2122
486	2007	2115
487	2009	2107
488	2010	2100
489	2011	2093
490	2012	2086
491	2013	2079
492	2014	2072
493	2015	2064
494	2016	2057
495	2019	2051
496	2020	2044
497	2021	2037
498	2022	2030
499	2022	2022
500	2024	2016
501	2025	2008
502	2025	2001
503	2026	1994
504	2027	1987
505	2028	1980
506	2029	1973
507	2030	1966
508	2031	1959
509	2031	1952
510	2034	1946
511	2035	1940
512	2037	1934
513	2038	1927
514	2039	1920
515	2040	1913
516	2040	1906
517	2041	1899
518	2042	1893
519	2043	1886
520	2044	1879
521	2045	1872
522	2045	1865
523	2046	1859
524	2049	1854
525	2050	1848
526	2052	1841
527	2053	1835
528	2054	1829
529	2055	1822
530	2056	1816
531	2057	1809
532	2058	1803
533	2058	1796
534	2059	1790
535	2061	1784
536	2062	1777
537	2065	1773
538	2065	1766
539	2066	1760
540	2067	1754
541	2068	1747
542	2069	1741
543	2070	1735
544	2071	1729
545	2072	1723
546	2074	1717
547	2075	1711
548	2076	1705
549	2077	1699
550	2079	1694
551	2081	1688
552	2082	1683
553	2083	1677
554	2084	1671
555	2085	1665
556	2086	1659
557	2088	1654
558	2089	1648
559	2090	1642
560	2093	1638
561	2094	1632
562	2095	1626
563	2097	1621
564	2098	1615
565	2099	1609
566	2100	1604
567	2101	1598
568	2103	1593
569	2104	1587
570	2105	1582
571	2108	1577
572	2110	1572
573	2111	1566
574	2112	1561
575	2112	1555
576	2113	1549
577	2114	1544
578	2115	1538
579	2116	1532
580	2118	1527
581	2119	1521
582	2119	1516
583	2120	1510
584	2122	1505
585	2123	1500
586	2124	1494
587	2125	1489
588	2126	1483
589	2127	1478
590	2128	1473
591	2129	1467
592	2130	1462
593	2131	1456
594	2132	1451
595	2132	1445
596	2133	1440
597	2134	1434
598	2135	1429
599	2136	1424
600	2138	1419
601	2139	1414
602	2141	1409
603	2142	1404
604	2143	1399
605	2144	1394
606	2145	1389
607	2146	1384
608	2147	1378
609	2148	1373
610	2149	1368
611	2150	1363
612	2151	1358
613	2153	1353
614	2154	1348
615	2155	1343
616	2156	1338
617	2157	1333
618	2158	1328
619	2159	1323
620	2159	1318
621	2160	1313
622	2161	1308
623	2162	1303
624	2163	1298
625	2164	1293
626	2165	1288
627	2165	1283
628	2166	1278
629	2169	1274
630	2170	1269
631	2171	1264
632	2172	1259
633	2173	1254
634	2174	1249
635	2175	1244
636	2176	1240
637	2177	1235
638	2177	1230
639	2178	1225
640	2179	1220
641	2180	1215
642	2181	1211
643	2183	1206
644	2184	1202
645	2185	1197
646	2186	1192
647	2187	1188
648	2188	1183
649	2189	1178
650	2189	1174
651	2190	1169
652	2191	1164
653	2192	1159
654	2193	1155
655	2194	1150
656	2195	1146
657	2196	1141
658	2197	1136
659	2199	1133
660	2200	1128
661	2201	1124
662	2202	1119
663	2203	1114
664	2204	1110
665	2205	1106
666	2206	1101
667	2207	1097
668	2208	1092
669	2209	1088
670	2210	1083
671	2211	1079
672	2214	1075
673	2215	1071
674	2216	1067
675	2217	1062
676	2218	1058
677	2219	1054
678	2220	1049
679	2221	1045
680	2222	1041
681	2224	1037
682	2225	1032
683	2226	1028
684	2229	1025
685	2231	1021
686	2232	1017
687	2234	1013
688	2235	1009
689	2236	1004
690	2238	1000
691	2239	996
692	2240	992
693	2241	988
694	2243	984
695	2245	980
696	2246	976
697	2247	972
698	2248	968
699	2249	964
700	2251	960
701	2252	956
702	2253	951
703	2254	947
704	2255	943
705	2256	939
706	2257	935
707	2260	932
708	2261	928
709	2262	924
710	2263	920
711	2264	916
712	2265	912
713	2266	908
714	2267	903
715	2268	899
716	2269	895
717	2271	891
718	2272	887
719	2274	884
720	2275	880
721	2277	876
722	2277	872
723	2279	868
724	2280	864
725	2281	860
726	2282	857
727	2283	853
728	2284	849
729	2285	845
730	2286	841
731	2287	837
732	2290	834
733	2291	830
734	2292	826
735	2294	822
736	2295	819
737	2296	815
738	2297	811
739	2298	807
740	2299	803
741	2300	799
742	2301	796
743	2302	792
744	2304	788
745	2306	785
746	2307	781
747	2308	777
748	2309	773
749	2310	770
750	2312	766
751	2313	762
752	2314	759
753	2315	755
754	2316	751
755	2317	747
756	2319	744
757	2321	741
758	2322	737
759	2324	733
760	2325	730
761	2326	726
762	2328	723
763	2329	719
764	2330	715
765	2331	712
766	2332	708
767	2335	705
768	2336	701
769	2337	698
770	2339	694
771	2340	691
772	2341	687
773	2342	683
774	2343	680
775	2344	676
776	2345	673
777	2346	669
778	2347	665
779	2350	663
780	2352	659
781	2353	656
782	2354	652
783	2355	648
784	2356	645
785	2357	641
786	2358	638
787	2359	634
788	2360	631
789	2361	627
790	2363	624
791	2366	621
792	2368	618
793	2369	614
794	2370	611
795	2371	607
796	2372	604
797	2373	600
798	2374	597
799	2375	593
800	2376	590
801	2377	587
802	2381	584
803	2382	580
804	2383	577
805	2384	573
806	2385	570
807	2386	566
808	2386	563
809	2387	560
810	2388	556
811	2389	553
812	2390	549
813	2391	546
814	2392	543
815	2393	539
816	2393	536
817	2395	533
818	2396	529
819	2397	526
820	2398	522
821	2399	519
822	2400	516
823	2401	512
824	2401	509
825	2402	506
826	2403	502
827	2404	499
828	2405	496
829	2406	492
830	2406	489
831	2407	486
832	2410	483
833	2411	479
834	2411	476
835	2413	473
836	2414	470
837	2414	466
838	2415	463
839	2416	460
840	2417	457
841	2418	453
842	2419	450
843	2420	447
844	2420	444
845	2421	440
846	2422	437
847	2423	434
848	2425	431
849	2427	428
850	2428	425
851	2429	422
852	2430	418
853	2431	415
854	2432	412
855	2433	409
856	2434	406
857	2435	403
858	2435	399
859	2436	396
860	2437	393
861	2438	390
862	2440	387
863	2441	384
864	2442	381
865	2443	378
866	2444	374
867	2445	371
868	2446	368
869	2446	365
870	2447	362
871	2448	359
872	2449	356
873	2450	353
874	2451	350
875	2452	347
876	2453	344
877	2454	341
878	2456	338
879	2457	335
880	2457	332
881	2458	328
882	2459	325
883	2460	322
884	2461	319
885	2462	316
886	2463	313
887	2464	310
888	2465	307
889	2465	304
890	2466	301
891	2467	298
892	2468	295
893	2470	292
894	2471	289
895	2472	287
896	2473	284
897	2475	281
898	2475	278
899	2476	275
900	2477	272
901	2478	269
902	2479	266
903	2480	263
904	2481	260
905	2482	257
906	2483	254
907	2483	251
908	2485	248
909	2486	245
910	2487	243
911	2488	240
912	2489	237
913	2490	234
914	2491	231
915	2492	228
916	2493	225
917	2493	222
918	2494	219
919	2495	217
920	2496	214
921	2497	211
922	2498	208
923	2501	205
924	2502	202
925	2503	200
926	2504	197
927	2504	194
928	2505	191
929	2506	188
930	2507	185
931	2508	183
932	2509	180
933	2510	177
934	2511	174
935	2511	171
936	2513	168
937	2515	166
938	2517	163
939	2518	160
940	2519	157
941	2520	155
942	2521	152
943	2522	149
944	2523	146
945	2523	144
946	2525	141
947	2525	138
948	2526	135
949	2527	133
950	2528	130
951	2531	127
952	2532	124
953	2532	122
954	2533	119
955	2534	116
956	2535	113
957	2536	111
958	2537	108
959	2538	105
960	2539	103
961	2540	100
962	2540	97
963	2541	94
964	2542	92
965	2543	89
966	2545	86
967	2546	84
968	2547	81
969	2548	78
970	2549	76
971	2550	73
972	2551	70
973	2552	68
974	2553	65
975	2554	62
976	2554	60
977	2555	57
978	2556	54
979	2557	52
980	2558	49
981	2559	46
982	2561	44
983	2562	41
984	2563	39
985	2564	36
986	2565	33
987	2566	31
988	2567	28
989	2568	25
990	2568	23
991	2569	20
992	2570	18
993	2571	15
994	2572	12
995	2573	10
996	2574	7
997	2576	5
998	2577	2
999	2578	0
